,extraction_date,round,name,club,position,fantasy_value,fantasy_position_group,minutes,man_of_match,meters_carried,defenders_beaten,offloads,tries,assists,conversions,penalties,drop_goals,scrum_wins,kick_50_22,tackles,breakdown_steals,lineout_steals,penalties_conceded,yellow_cards,red_cards,points,,
0,10/02/2025,2,L. Cannone,Italy,Back Row,14.4,Back-row,80,1,104,7,,,,,,,3,,17,2,,2,,,67,,
1,10/02/2025,2,L. Bielle-Biarrey,France,Back Three,15.9,Back Three,80,,110,4,2,2,1,,,,,,9,,,,,,56,,
2,10/02/2025,2,C. Doris,Ireland,Back Row,17.9,Back-row,80,,80,1,,1,,,,,7,,17,1,,1,,,53,,
3,10/02/2025,2,S. Prendergast,Ireland,Fly-Half,12.2,Fly-half,80,1,22,2,,,1,3,2,,,,9,,,,,,46,,
4,10/02/2025,2,F. Smith,England,Fly-Half,9.4,Fly-half,80,1,15,1,,,2,2,,,,,9,,,,,,39,,
5,10/02/2025,2,B. Kinghorn,Scotland,Back Three,17.4,Back Three,80,,159,4,3,,,1,2,,,,1,,,,,,38,,
6,10/02/2025,2,D. Penaud,France,Back Three,18.6,Back Three,80,,106,6,,1,1,,,,,,2,,,1,,,37,,
7,10/02/2025,2,T. Freeman,England,Back Three,14.5,Back Three,80,,58,4,3,1,1,,,,,,4,,,1,,,36,,
8,10/02/2025,2,T. Ramos,France,Back Three,19.4,Back Three,80,,162,3,2,,,2,2,,,,,,,2,,,34,,
9,10/02/2025,2,J. van der Flier,Ireland,Back Row,15.2,Back-row,80,,30,3,,,,,,,7,,19,,,1,,,34,,
10,10/02/2025,2,T. Curry,England,Back Row,15.2,Back-row,80,,42,3,1,,,,,,6,,11,1,,,,,34,,
11,10/02/2025,2,T. Willis,England,Back Row,10,Back-row,53,,37,5,,,,,,,6,,16,,,1,,,34,,
12,10/02/2025,2,B. Earl,England,Back Row,20.2,Back-row,80,,85,4,,,,,,,6,,6,1,,,,,33,,
13,10/02/2025,2,J. Conan,Ireland,Back Row,12.5,Subs,33,,9,,,1,,,,,4,,6,1,,,,,30,,
14,10/02/2025,2,O. Lawrence,England,Centre,15.4,Centre,80,,29,2,,1,,,,,,,7,1,,,,,28,,
15,10/02/2025,2,R. Henshaw,Ireland,Centre,13.9,Centre,80,,71,2,,,1,,,,,,13,,,,,,28,,
16,10/02/2025,2,G. Alldritt,France,Back Row,19.1,Back-row,80,,106,1,1,,,,,,5,,8,,,,,,27,,
17,10/02/2025,2,D. van der Merwe,Scotland,Back Three,19,Back Three,70,,65,5,,1,,,,,,,6,,,1,1,,26,,
18,10/02/2025,2,J. Lowe,Ireland,Back Three,18.4,Back Three,80,,63,2,1,1,,,,,,,3,,,,,,25,,
19,10/02/2025,2,T. Beirne,Ireland,Second Row,17.6,Second-row,71,,15,1,,,,,,,7,,12,1,,2,,,25,,
20,10/02/2025,2,T. Faletau,Wales,Back Row,12.7,Back-row,80,,73,1,1,,,,,,1,,16,,,3,,,25,,
21,10/02/2025,2,H. Jones,Scotland,Centre,17.9,Centre,80,,59,3,,,,,,,,,3,2,,,,,24,,
22,10/02/2025,2,R. Darge,Scotland,Back Row,15.3,Back-row,80,,13,,2,,,,,,5,,15,,,1,,,24,,
23,10/02/2025,2,M. Jalibert,France,Fly-Half,14.7,Fly-half,66,,98,3,2,,,,,,,,5,,,,,,24,,
24,10/02/2025,2,M. Smith,England,Fly-Half,17.5,Back Three,80,,140,2,,,,1,,,,,3,,,,,,23,,
25,10/02/2025,2,J. Morgan,Wales,Back Row,17.2,Back-row,80,,44,3,,,,,,,1,,13,,,1,,,23,,
26,10/02/2025,2,B. White,Scotland,Scrum-Half,14.1,Scrum-half,80,,12,2,1,1,,,,,,,7,,,1,,,23,,
27,10/02/2025,2,S. Negri,Italy,Back Row,13,Back-row,61,,40,,,,,,,,2,,10,,1,,,,23,,
28,10/02/2025,2,A. Wainwright,Wales,Back Row,16,Subs,23,,40,,,1,,,,,,,3,,,,,,22,,
29,10/02/2025,2,F. Bealham,Ireland,Prop,11,Prop,60,,,,,,,,,,4,,13,1,,,,,22,,
30,10/02/2025,2,M. Itoje,England,Second Row,16.8,Second-row,80,,8,,,,,,,,6,,10,1,,,,,21,,
31,10/02/2025,2,J. Ryan,Ireland,Second Row,12.8,Second-row,65,,7,,,,,,,,5,,11,,1,2,,,21,,
32,10/02/2025,2,F. Baxter,England,Prop,9.2,Subs,28,,22,,,1,,,,,,,5,,,1,,,21,,
33,10/02/2025,2,J. Dempsey,Scotland,Back Row,16.4,Back-row,60,,47,2,,,,,,,3,,9,,,,,,20,,
34,10/02/2025,2,T. Allan,Italy,Fly-Half,11.4,Back Three,74,,29,,,,,1,5,,,,2,,,1,,,20,,
35,10/02/2025,2,B. Murray,Wales,Back Three,11,Subs,80,,50,6,1,,,,,,,,1,,,,,,20,,
36,10/02/2025,2,P. Garbisi,Italy,Fly-Half,17.4,Fly-half,70,,34,2,,,1,,,,,,8,,,,,,19,,
37,10/02/2025,2,F. Cros,France,Back Row,16.1,Back-row,80,,18,,,,,,,,5,,13,,,,,,19,,
38,10/02/2025,2,G. Martin,England,Second Row,13,Second-row,61,,15,,,,,,,,6,,12,,,,,,19,,
39,10/02/2025,2,A. Porter,Ireland,Prop,15.3,Prop,69,,15,,,,,,,,5,,12,,,,,,18,,
40,10/02/2025,2,E. Genge,England,Prop,13.9,Prop,52,,11,,1,,,,,,6,,11,,,2,,,18,,
41,10/02/2025,2,O. Sleightholme,England,Back Three,13.7,Back Three,80,,50,5,,,,,,,,,3,,,,,,18,,
42,10/02/2025,2,D. Fischetti,Italy,Prop,12.8,Prop,66,,23,1,,,,,,,3,,11,,,,,,18,,
43,10/02/2025,2,P. O'Mahony,Ireland,Back Row,10.8,Back-row,52,,37,,,,,,,,3,,7,1,,,,,18,,
44,10/02/2025,2,S. McDowall,Scotland,Centre,8,Subs,59,,29,1,1,,1,,,,,,8,,,,,,18,,
45,10/02/2025,2,M. Lamaro,Italy,Back Row,15.3,Back-row,66,,7,,,,,,,,3,,9,1,,,,,17,,
46,10/02/2025,2,P. Mauvaka,France,Hooker,15.1,Hooker,56,,25,1,,,,,,,4,,4,1,,,,,17,,
47,10/02/2025,2,M. Fagerson,Scotland,Back Row,14,Back-row,80,,32,3,,,,,,,5,,6,,,3,,,17,,
48,10/02/2025,2,E. Daly,England,Back Three,11.7,Subs,4,,33,2,,1,,,,,,,,,,,,,17,,
49,10/02/2025,2,Y. Moefana,France,Centre,12.4,Centre,80,,46,1,,,1,,,,,,7,,,,,,17,,
50,10/02/2025,2,E. Meafou,France,Second Row,11.6,Second-row,66,,41,,,,,,,,5,,8,,,,,,17,,
51,10/02/2025,2,A. Roumat,France,Second Row,11,Second-row,50,,21,1,,,,,,,4,,2,,1,,,,17,,
52,10/02/2025,2,D. Cherry,Scotland,Hooker,9.6,Hooker,47,,4,,,,,,,,2,,4,2,,,,,16,,
53,10/02/2025,2,F. Thomas,Wales,Second Row,8.9,Subs,80,,16,,,,,,,,1,,9,,1,2,,,16,,
54,10/02/2025,2,Z. Fagerson,Scotland,Prop,14.1,Prop,68,,43,,,,,,,,5,,6,,,,,,15,,
55,10/02/2025,2,N. Cannone,Italy,Second Row,13,Second-row,80,,15,,,,,,,,3,,11,,,,,,15,,
56,10/02/2025,2,L. Cowan-Dickie,England,Hooker,12.3,Hooker,61,,12,,,,,,,,6,,8,,,,,,15,,
57,10/02/2025,2,C. Nash,Ireland,Back Three,,,65,,20,,,1,,,,,,,4,,,1,,,15,,
58,10/02/2025,2,J. Gray,Scotland,Second Row,10.4,Second-row,47,,15,,1,,,,,,2,,3,,1,,,,15,,
59,10/02/2025,2,A. Capuozzo,Italy,Back Three,15.7,Back Three,80,,,,,1,,,,,,,5,,,1,,,14,,
60,10/02/2025,2,J. Dobie,Scotland,Scrum-Half,10.8,Subs,59,,15,2,,,,,,,,,4,1,,,,,14,,
61,10/02/2025,2,J. Gros,France,Prop,10.6,Prop,56,,24,1,,,,,,,4,,6,,,,,,14,,
62,10/02/2025,2,M. Page-Relo,Italy,Scrum-Half,9.7,Scrum-half,69,,29,2,,,,,,,,1,1,,,,,,14,,
63,10/02/2025,2,A. Dupont,France,Scrum-Half,20.4,Scrum-half,80,,49,2,,,,,,,,,6,,,1,,,13,,
64,10/02/2025,2,P. Barassi,France,Centre,12.5,Centre,80,,55,,1,,,,,,,,6,,,,,,13,,
65,10/02/2025,2,G. Nicotera,Italy,Hooker,13.4,Hooker,52,,,,,,,,,,2,,11,,,1,,,12,,
66,10/02/2025,2,J. Botham,Wales,Back Row,11.4,Back-row,57,,27,,,,,,,,1,,4,1,,,,,12,,
67,10/02/2025,2,J. Ritchie,Scotland,Back Row,12.1,Subs,20,,16,,,,,,,,2,,3,1,,,,,11,,
68,10/02/2025,2,T. Jordan,Scotland,Fly-Half,11.3,Centre,80,,34,,1,,,,,,,,6,,,,,,11,,
69,10/02/2025,2,W. Stuart,England,Prop,9.2,Prop,58,,,,,,,,,,6,,5,,,,,,11,,
70,10/02/2025,2,D. Sheehan,Ireland,Hooker,18.4,Subs,40,,2,,,,,,,,4,,7,,,1,,,10,,
71,10/02/2025,2,H. Keenan,Ireland,Back Three,13.7,Back Three,80,,25,1,,,1,,,,,,2,,,,,,10,,
72,10/02/2025,2,J. Gibson-Park,Ireland,Scrum-Half,17,Scrum-half,69,,7,,,,1,,,,,,5,,,,,,9,,
73,10/02/2025,2,F. Ruzza,Italy,Second Row,13.9,Second-row,61,,6,1,,,,,,,2,,5,,,,,,9,,
74,10/02/2025,2,A. Mitchell,England,Scrum-Half,13.8,Scrum-half,80,,59,1,,,,,,,,,2,,,,,,9,,
75,10/02/2025,2,P. Schoeman,Scotland,Prop,12.9,Subs,33,,32,2,,,,,,,3,,,,,1,,,9,,
76,10/02/2025,2,P. Boudehent,France,Back Row,12.9,Back-row,50,,25,,,,,,,,4,,4,,,1,,,9,,
77,10/02/2025,2,R. Baird,Ireland,Back Row,12.4,Subs,19,,14,1,,,,,,,2,,4,,,,,,9,,
78,10/02/2025,2,G. Gilchrist,Scotland,Second Row,11.5,Second-row,68,,14,,,,,,,,5,,3,,,,,,9,,
79,10/02/2025,2,M. Zuliani,Italy,Back Row,10.4,Subs,14,,,,,,,,,,,,4,1,,,,,9,,
80,10/02/2025,2,S. Ferrari,Italy,Prop,9.7,Prop,52,,4,,,,,,,,2,,7,,,,,,9,,
81,10/02/2025,2,M. Ioane,Italy,Back Three,15.8,Back Three,80,,31,1,,,,,,,,,3,,,,,,8,,
82,10/02/2025,2,T. Menoncello,Italy,Centre,15.8,Centre,80,,10,,,,,,,,,,8,,,1,,,8,,
83,10/02/2025,2,E. Ashman,Scotland,Hooker,13.4,Subs,33,,19,1,,,,,,,3,,2,,,,,,8,,
84,10/02/2025,2,R. Kelleher,Ireland,Hooker,13.4,Hooker,41,,,,,,,,,,3,,5,,,,,,8,,
85,10/02/2025,2,E. Dee,Wales,Hooker,12.4,Subs,35,,24,,,,,,,,,,6,,,,,,8,,
86,10/02/2025,2,D. Edwards,Wales,Fly-Half,11,Subs,32,,29,3,,,,,,,,,,,,,,,8,,
87,10/02/2025,2,U. Atonio,France,Prop,11.1,Prop,56,,15,,1,,,,,,4,,2,,,1,,,8,,
88,10/02/2025,2,W. Rowlands,Wales,Second Row,10.9,Second-row,57,,33,,,,,,,,1,,5,,,1,,,8,,
89,10/02/2025,2,O. Jegou,France,Back Row,10.1,Subs,30,,22,1,,,,,,,1,,3,,,,,,8,,
90,10/02/2025,2,R. Sutherland,Scotland,Prop,9.3,Prop,47,,25,,,,,,,,2,,4,,,,,,8,,
91,10/02/2025,2,E. Lloyd,Wales,Hooker,8.2,Hooker,45,,27,1,1,,,,,,1,,2,,,1,,,8,,
92,10/02/2025,2,G. Lucchesi,Italy,Hooker,13.2,Subs,28,,8,1,,,,,,,1,,4,,,,,,7,,
93,10/02/2025,2,C. Baille,France,Prop,13,Subs,24,,6,,,,,,,,1,,6,,,,,,7,,
94,10/02/2025,2,R. Vintcent,Italy,Back Row,12,Subs,19,,2,,,,,,,,1,,6,,,,,,7,,
95,10/02/2025,2,G. Thomas,Wales,Prop,11.5,Prop,45,,5,,,,,,,,1,,6,,,,,,7,,
96,10/02/2025,2,G. Colombe,France,Prop,10.1,Subs,24,,3,1,,,,,,,1,,5,,,1,,,7,,
97,10/02/2025,2,E. James,Wales,Centre,8.8,Centre,80,,46,,,,,,,,,,3,,,,,,7,,
98,10/02/2025,2,B. Aki,Ireland,Centre,15.7,Centre,57,,18,,,,,,,,,,7,,,2,,,6,,
99,10/02/2025,2,H. Slade,England,Centre,12,Centre,76,,36,,,,,,,,,,3,,,,,,6,,
100,10/02/2025,2,T. Rogers,Wales,Back Three,11,Back Three,61,,,1,,,,,,,,,5,,,1,,,6,,
101,10/02/2025,2,C. Healy,Ireland,Prop,9.1,Subs,11,,6,,1,,,,,,2,,2,,,,,,6,,
102,10/02/2025,2,T. Clarkson,Ireland,Prop,7,Subs,20,,,,,,,,,,3,,3,,,,,,6,,
103,10/02/2025,2,D. Graham,Scotland,Back Three,17,Back Three,21,,15,,,,,,,,,,4,,,,,,5,,
104,10/02/2025,2,J. Brex,Italy,Centre,14.3,Centre,80,,14,,,,,,,,,,4,,,,,,5,,
105,10/02/2025,2,O. Chessum,England,Second Row,13.1,Subs,19,,18,1,,,,,,,,,2,,,,,,5,,
106,10/02/2025,2,B. Thomas,Wales,Centre,13.1,Fly-half,48,,7,1,,,,,1,,,,1,,,1,,,5,,
107,10/02/2025,2,H. Auradou,France,Second Row,8.2,Subs,30,,4,,,,,,,,1,,5,,,1,,,5,,
108,10/02/2025,2,J. Marchand,France,Hooker,13.8,Subs,24,,5,,,,,,,,1,,3,,,,,,4,,
109,10/02/2025,2,J. Heyes,England,Prop,8,Subs,22,,,,,,,,,,,,4,,,,,,4,,
110,10/02/2025,2,G. Brown,Scotland,Back Row,7.7,Subs,33,,9,,,,,,,,3,,2,,,1,,,4,,
111,10/02/2025,2,J. George,England,Hooker,14.7,Subs,19,,18,1,,,,,,,,,,,,,,,3,,
112,10/02/2025,2,T. Williams,Wales,Scrum-Half,14.7,Scrum-half,67,,2,1,,,,,,,,,1,,,,,,3,,
113,10/02/2025,2,C. Murray,Ireland,Scrum-Half,11,Subs,11,,,1,,,,,,,,,1,,,,,,3,,
114,10/02/2025,2,J. Trulla,Italy,Back Three,10.8,Subs,16,,,,,,,,,,,,3,,,,,,3,,
115,10/02/2025,2,T. Williams,Wales,Second Row,,,23,,23,,,,,,,,,,1,,,,,,3,,
116,10/02/2025,2,M. Guillard,France,Second Row,8.5,Subs,14,,,,,,,,,,,,3,,,,,,3,,
117,10/02/2025,2,K. Assiratti,Wales,Prop,8.1,Subs,35,,9,,,,,,,,,,4,,,1,,,3,,
118,10/02/2025,2,H. Thomas,Wales,Prop,7.7,Prop,45,,15,,,,,,,,1,,3,,,2,,,3,,
119,10/02/2025,2,L. Rizzoli,Italy,Prop,7.2,Subs,14,,4,,,,,,,,,,4,,,1,,,3,,
120,10/02/2025,2,G. Ringrose,Ireland,Centre,13.9,Subs,23,,,,,,,,,,,,2,,,,,,2,,
121,10/02/2025,2,B. Curry,England,Back Row,13.2,Subs,27,,4,,,,,,,,,,2,,,,,,2,,
122,10/02/2025,2,N. Tompkins,Wales,Centre,13.1,Centre,69,,16,,,,,,,,,,1,,,,,,2,,
123,10/02/2025,2,J. Adams,Wales,Back Three,12.5,Back Three,70,,24,3,,,,,,,,,,,,1,1,,2,,
124,10/02/2025,2,S. Skinner,Scotland,Second Row,10,Subs,12,,,,,,,,,,,,2,,,,,,2,,
125,10/02/2025,2,N. Smith,Wales,Prop,7.4,Subs,35,,18,,,,,,,,,,1,,,,,,2,,
126,10/02/2025,2,F. Russell,Scotland,Fly-Half,19.5,Fly-half,21,,2,,,,,,,,,,1,,,,,,1,,
127,10/02/2025,2,N. Le Garrec,France,Scrum-Half,12,Subs,14,,1,,,,,,,,,,1,,,,,,1,,
128,10/02/2025,2,J. Hathaway,Wales,Back Three,,,30,,4,,,,,,,,,,1,,,,,,1,,
129,10/02/2025,2,A. Garbisi,Italy,Scrum-Half,8,Subs,11,,,,,,,,,,,,1,,,,,,1,,
130,10/02/2025,2,J. Crowley,Ireland,Fly-Half,14,Subs,15,,9,,,,,,,,,,,,,,,,,,
131,10/02/2025,2,R. Williams,Wales,Scrum-Half,9,Subs,13,,3,,,,,,,,,,,,,,,,,,
132,10/02/2025,2,M. Riccioni,Italy,Prop,8.2,Subs,25,,,,,,,,,,1,,6,,,2,1,,,,
133,10/02/2025,2,W. Hurd,Scotland,Prop,7.2,Subs,12,,2,,,,,,,,,,,,,1,,,-1,,
134,10/02/2025,2,D. Lamb,Italy,Second Row,8.5,Subs,17,,,,,,,,,,1,,4,,,2,1,,-2,,
135,10/02/2025,2,T. Reffell,Wales,Back Row,,,,,,,,,,,,,,,,,,,,,,,
136,10/02/2025,2,R. Ntamack,France,Fly-Half,,,,,,,,,,,,,,,,,,,,,,,
137,10/02/2025,2,D. Jenkins,Wales,Second Row,15.6,Second-row,,,,,,,,,,,,,,,,,,,,,
138,10/02/2025,2,M. Hansen,Ireland,Back Three,14.1,Back Three,,,,,,,,,,,,,,,,,,,,,
139,10/02/2025,2,G. Ford,England,Fly-Half,,,,,,,,,,,,,,,,,,,,,,,
140,10/02/2025,2,G. Ford,England,Fly-Half,,,,,,,,,,,,,,,,,,,,,,,
141,10/02/2025,2,N. Depoortere,France,Centre,,,,,,,,,,,,,,,,,,,,,,,
142,10/02/2025,2,J. McCarthy,Ireland,Second Row,,,,,,,,,,,,,,,,,,,,,,,
143,10/02/2025,2,C. Cunningham-South,England,Back Row,13,Subs,,,,,,,,,,,,,,,,,,,,,
144,10/02/2025,2,G. Villiere,France,Back Three,,,,,,,,,,,,,,,,,,,,,,,
